#, Max. MW, RT [min], Area, Max. m/z
1, 175.9634, 0.53, 73792.0, 174.9562
2, 159.9860, 0.54, 350284.6, 158.9787
3, 736.1549, 0.56, 55437.5, 735.1476
4, 560.1229, 0.56, 33301.8, 559.1156
5, 334.0670, 0.57, 232421.7, 333.0597
6, 388.1222, 0.59, 404711.3, 387.1150
7, 180.0634, 0.59, 681456.0, 179.0562
8, 246.0503, 0.60, 88012.4, 245.0430
9, 216.0402, 0.60, 192240.8, 215.0329
10, 166.0477, 0.60, 187889.7, 165.0404
11, 196.0583, 0.60, 1739005.9, 195.0511
12, 194.0427, 0.61, 324201.3, 193.0354
13, 378.0936, 0.61, 265628.3, 377.0864
14, 536.1598, 0.61, 122627.6, 537.1677
15, 492.1334, 0.62, 93881.8, 491.1261
16, 296.0748, 0.62, 189719.1, 295.0675
17, 312.0699, 0.62, 193591.0, 311.0626
18, 224.0535, 0.62, 54040.6, 223.0463
19, 370.0753, 0.62, 56011.7, 369.0680
20, 440.0892, 0.62, 294622.7, 439.0819
21, 150.0164, 0.62, 10043015.0, 149.0092
22, 638.1908, 0.62, 29497.9, 637.1835
23, 210.0378, 0.62, 160084.0, 209.0305
24, 354.0799, 0.62, 37355.5, 353.0726
25, 422.0752, 0.63, 20703.3, 421.0679
26, 260.0205, 0.63, 121987.6, 259.0133
27, 394.0471, 0.63, 77369.6, 393.0398
28, 291.0280, 0.63, 181806.3, 291.0170
29, 204.0273, 0.64, 222260.5, 205.0355
30, 275.0329, 0.64, 1249348.8, 275.0221
31, 535.9817, 0.65, 75887.0, 132.9882
32, 401.2902, 0.65, 39452.7, 133.0781
33, 134.0215, 0.65, 10060357.0, 133.0143
34, 116.0112, 0.65, 126618.3, 115.0039
35, 307.0856, 0.66, 20159.9, 307.0844
36, 574.9046, 0.66, 48265.0, 191.2874
37, 574.9767, 0.66, 44802.5, 190.9766
38, 384.0546, 0.66, 50400.7, 383.0473
39, 192.0270, 0.67, 11586075.0, 191.0197
40, 422.0107, 0.67, 225762.3, 421.0034
41, 406.0362, 0.67, 44654.8, 405.0289
42, 174.0164, 0.68, 971834.1, 173.0091
43, 330.0592, 0.70, 49834.4, 329.0520
44, 334.0701, 0.70, 752403.3, 333.0628
45, 130.0268, 0.71, 369413.4, 129.0195
46, 134.0580, 0.71, 960620.7, 133.0507
47, 429.9611, 0.71, 32672.6, 428.9538
48, 392.0058, 0.71, 760412.6, 390.9985
49, 188.0323, 0.71, 106813.9, 187.0250
50, 148.0366, 0.71, 1160293.9, 147.0299
51, 619.1199, 0.71, 18310.9, 618.1126
52, 210.0378, 0.74, 136845.4, 209.0305
53, 196.0585, 0.74, 1116947.0, 195.0512
54, 150.0165, 0.74, 6643365.5, 149.0093
55, 134.0216, 0.74, 7658891.0, 133.0144
56, 1234.2330, 0.75, 332467.3, 616.1099
57, 370.0754, 0.75, 108593.0, 369.0681
58, 276.0659, 0.77, 113728.9, 275.0586
59, 134.0580, 0.78, 844707.8, 133.0507
60, 736.1550, 0.79, 118003.8, 735.1477
61, 333.0751, 0.80, 232004.7, 332.0679
62, 188.0323, 0.80, 146343.5, 187.0250
63, 460.1437, 0.81, 309037.6, 459.1364
64, 389.9899, 0.82, 198476.0, 388.9827
65, 238.0151, 0.82, 124522.2, 237.0078
66, 392.0056, 0.83, 1694410.1, 390.9984
67, 118.0269, 0.83, 310480.1, 117.0196
68, 391.0899, 0.83, 51222.5, 390.0826
69, 148.0372, 0.84, 2601741.0, 147.0299
70, 170.0217, 0.84, 90903.9, 169.0144
71, 375.0947, 0.84, 29178.1, 374.0875
72, 474.1020, 0.84, 53587.4, 473.0948
73, 383.1083, 0.84, 54283.7, 382.1011
74, 360.0699, 0.84, 70138.2, 359.0627
75, 352.0658, 0.85, 93835.4, 351.0605
76, 348.0871, 0.85, 119784.4, 347.0798
77, 275.1057, 0.86, 291334.0, 275.0949
78, 617.1170, 0.86, 2377978.8, 616.1098
79, 715.0866, 0.86, 202054.7, 714.0793
80, 146.0580, 0.87, 91275.1, 145.0508
81, 615.1013, 0.87, 233919.8, 614.0940
82, 595.1461, 0.87, 15059.7, 594.1388
83, 370.0363, 0.88, 91095.4, 369.0290
84, 458.1065, 0.88, 102462.6, 457.0993
85, 182.0613, 0.88, 327872.8, 181.0540
86, 514.1904, 0.89, 1398.3, 514.1784
87, 394.0573, 0.89, 73338.7, 393.0500
88, 381.1638, 0.89, 52735.2, 380.1565
89, 369.1066, 0.89, 418286.8, 368.0994
90, 344.0748, 0.89, 30870.4, 343.0676
91, 324.1426, 0.90, 95120.0, 323.1354
92, 148.0373, 0.91, 741534.4, 147.0300
93, 658.0998, 0.91, 59928.5, 657.0925
94, 594.1376, 0.92, 31576.2, 593.1303
95, 178.0478, 0.93, 538555.9, 177.0405
96, 434.1069, 0.94, 35803.4, 433.0996
97, 392.0056, 0.94, 2721296.3, 390.9983
98, 316.0799, 0.94, 1209309.9, 315.0726
99, 238.0514, 0.94, 84071.6, 237.0442
100, 330.0968, 0.95, 18635.7, 331.1039
101, 617.1169, 0.95, 1896749.4, 616.1096
102, 206.0794, 0.95, 87943.9, 205.0721
103, 615.1013, 0.96, 284699.8, 614.0940
104, 280.1162, 0.96, 354203.8, 279.1089
105, 606.1813, 0.97, 29637.5, 605.1740
106, 219.1109, 0.97, 168138.0, 218.1036
107, 474.1016, 0.97, 64099.1, 473.0944
108, 624.0974, 0.98, 26760.6, 623.0901
109, 148.0736, 0.99, 1587187.6, 147.0663
110, 729.1589, 1.01, 36700.7, 728.1517
111, 464.1899, 1.01, 139289.9, 463.1826
112, 728.2008, 1.01, 78549.0, 727.1935
113, 290.1179, 1.01, 45832.2, 289.1106
114, 478.1691, 1.02, 77195.9, 477.1618
115, 434.1432, 1.02, 283077.9, 433.1359
116, 352.0933, 1.02, 185086.0, 351.0860
117, 414.0882, 1.02, 141680.6, 413.0809
118, 162.0529, 1.02, 1937979.6, 161.0456
119, 494.1640, 1.02, 125675.2, 495.1551
120, 374.1221, 1.02, 82804.3, 373.1148
121, 632.2320, 1.02, 106676.4, 631.2248
122, 596.2323, 1.03, 51865.5, 595.2251
123, 316.1163, 1.03, 1144411.0, 315.1091
124, 154.0632, 1.03, 159539.1, 153.0559
125, 450.1744, 1.03, 75505.5, 449.1671
