#, Max. MW, RT [min], Area, Max. m/z
1, 175.9635, 0.54, 81040.5, 174.9562
2, 159.9858, 0.54, 342801.1, 158.9786
3, 736.1542, 0.57, 54917.1, 735.1470
4, 560.1225, 0.57, 34522.2, 559.1152
5, 334.0668, 0.57, 206074.6, 333.0595
6, 388.1220, 0.60, 382327.8, 387.1148
7, 180.0633, 0.60, 159109.1, 179.0560
8, 166.0476, 0.61, 150426.9, 165.0403
9, 196.0582, 0.61, 1604430.3, 195.0509
10, 378.0935, 0.62, 269321.8, 377.0862
11, 194.0425, 0.62, 313486.2, 193.0353
12, 538.1752, 0.62, 88308.6, 537.1679
13, 606.2011, 0.62, 18864.1, 605.1938
14, 492.1335, 0.63, 107687.0, 491.1262
15, 312.0699, 0.63, 200181.0, 311.0626
16, 224.0533, 0.63, 73951.1, 223.0460
17, 638.1908, 0.63, 32978.3, 637.1835
18, 210.0377, 0.63, 159644.6, 209.0304
19, 150.0163, 0.63, 11941629.0, 149.0091
20, 370.0753, 0.63, 53767.9, 369.0681
21, 782.2058, 0.63, 34904.0, 781.1985
22, 440.0885, 0.63, 229547.4, 439.0812
23, 354.0799, 0.64, 43533.5, 353.0726
24, 260.0207, 0.64, 111292.4, 259.0134
25, 394.0466, 0.64, 63791.4, 393.0393
26, 291.0278, 0.64, 203337.1, 291.0170
27, 275.0329, 0.65, 1052568.4, 275.0220
28, 401.4564, 0.66, 17005.7, 132.8115
29, 669.9773, 0.66, 114881.5, 133.1796
30, 116.0111, 0.66, 107398.6, 115.0038
31, 134.0214, 0.66, 9281869.0, 133.0142
32, 670.6942, 0.66, 80410.8, 133.1316
33, 752.1496, 0.67, 23272.9, 751.1423
34, 767.9347, 0.67, 50095.9, 191.2241
35, 384.0542, 0.67, 41335.3, 383.0469
36, 192.0268, 0.68, 11768221.0, 191.0195
37, 767.8617, 0.68, 39428.3, 191.2179
38, 327.9510, 0.68, 112723.1, 326.9437
39, 422.0104, 0.68, 212815.3, 421.0032
40, 959.8277, 0.68, 48587.1, 191.1596
41, 406.0357, 0.68, 43052.5, 405.0284
42, 174.0162, 0.68, 978057.1, 173.0090
43, 307.0946, 0.69, 29368.5, 307.0846
44, 129.0426, 0.70, 82297.2, 128.0353
45, 348.0499, 0.70, 52548.3, 347.0427
46, 296.0735, 0.71, 1366742.0, 147.0297
47, 334.0701, 0.72, 882895.6, 333.0628
48, 130.0265, 0.72, 458155.8, 129.0193
49, 429.9609, 0.72, 47301.3, 428.9537
50, 392.0053, 0.72, 805751.5, 390.9980
51, 188.0320, 0.73, 124762.8, 187.0247
52, 476.1373, 0.74, 303504.2, 475.1308
53, 196.0582, 0.75, 936003.3, 195.0509
54, 194.0418, 0.75, 218116.3, 193.0345
55, 370.0750, 0.75, 101608.8, 369.0677
56, 150.0162, 0.75, 7130240.5, 149.0090
57, 134.0214, 0.75, 5899461.0, 133.0141
58, 476.1741, 0.79, 81148.5, 475.1668
59, 134.0578, 0.79, 1574934.5, 133.0505
60, 332.0744, 0.79, 816198.8, 333.0632
61, 188.0320, 0.81, 170806.5, 187.0247
62, 734.1205, 0.81, 97382.5, 733.1132
63, 429.9606, 0.82, 46456.7, 428.9534
64, 460.1433, 0.82, 186220.6, 459.1360
65, 389.9896, 0.83, 276896.9, 388.9823
66, 697.0735, 0.84, 15922.1, 696.0662
67, 289.0845, 0.84, 232813.3, 289.0739
68, 392.0052, 0.84, 2009865.9, 390.9979
69, 431.0525, 0.84, 42411.4, 430.0452
70, 118.0267, 0.84, 228549.2, 117.0194
71, 502.1899, 0.84, 44481.2, 501.1826
72, 148.0369, 0.85, 3470395.3, 147.0296
73, 206.0425, 0.85, 187946.0, 205.0352
74, 170.0213, 0.85, 97287.7, 169.0140
75, 162.0526, 0.85, 258314.8, 161.0453
76, 360.0696, 0.85, 139200.0, 361.0590
77, 474.1014, 0.85, 78023.6, 473.0942
78, 383.1079, 0.85, 63078.7, 382.1006
79, 347.0900, 0.86, 212285.2, 347.0794
80, 352.0643, 0.86, 127121.3, 175.0246
81, 1000.2184, 0.86, 14782.2, 999.2111
82, 275.1052, 0.87, 721731.4, 275.0944
83, 1234.2269, 0.87, 272606.6, 1233.2196
84, 617.1162, 0.87, 3504938.3, 616.1089
85, 715.0851, 0.87, 254414.0, 714.0778
86, 655.0718, 0.88, 44468.7, 654.0645
87, 987.1485, 0.88, 32309.6, 986.1412
88, 615.1006, 0.88, 321691.8, 614.0933
89, 633.1113, 0.89, 24286.0, 632.1040
90, 370.0362, 0.89, 132881.8, 369.0289
91, 182.0610, 0.89, 395921.4, 181.0537
92, 358.0873, 0.89, 36721.8, 357.0801
93, 259.9988, 0.90, 58323.8, 258.9915
