#, Max. MW, RT [min], Area, Max. m/z
1, 175.9636, 0.54, 85797.4, 174.9563
2, 159.9860, 0.55, 359498.4, 158.9787
3, 273.9666, 0.55, 1527602.6, 272.9593
4, 334.0668, 0.58, 224085.5, 333.0595
5, 606.2010, 0.58, 19812.5, 605.1937
6, 342.1166, 0.60, 352129.6, 341.1096
7, 180.0634, 0.61, 598685.2, 179.0562
8, 216.0402, 0.61, 113686.7, 215.0329
9, 166.0477, 0.61, 147867.3, 165.0404
10, 196.0584, 0.61, 1467061.9, 195.0511
11, 384.0308, 0.62, 44536.0, 383.0236
12, 378.0936, 0.62, 215709.0, 377.0864
13, 194.0428, 0.62, 244815.8, 193.0355
14, 538.1753, 0.63, 68564.2, 537.1681
15, 492.1334, 0.63, 97195.2, 491.1261
16, 296.0748, 0.63, 162506.7, 295.0675
17, 312.0698, 0.63, 200164.1, 311.0626
18, 370.0752, 0.63, 54167.7, 369.0679
19, 450.4281, 0.63, 133088.5, 149.1354
20, 440.0893, 0.63, 163725.0, 439.0820
21, 150.0165, 0.63, 12210329.0, 149.0092
22, 210.0378, 0.64, 140224.5, 209.0305
23, 599.0070, 0.64, 54653.3, 149.2440
24, 468.1160, 0.64, 66309.6, 467.1087
25, 260.0207, 0.64, 95634.5, 259.0134
26, 292.0245, 0.65, 142944.2, 291.0172
27, 354.0802, 0.65, 32642.0, 353.0730
28, 204.0272, 0.65, 142070.0, 203.0199
29, 275.0330, 0.66, 1038581.4, 275.0222
30, 669.9773, 0.66, 117468.7, 133.1797
31, 116.0113, 0.66, 107611.8, 115.0040
32, 134.0216, 0.66, 9002214.0, 133.0143
33, 401.2714, 0.66, 44288.8, 133.0766
34, 307.0866, 0.67, 20952.9, 307.0843
35, 384.0546, 0.67, 61431.3, 383.0474
36, 192.0271, 0.68, 10909201.0, 191.0198
37, 767.9366, 0.68, 49177.4, 191.2242
38, 574.9039, 0.68, 21403.9, 191.2874
39, 422.0108, 0.68, 196545.2, 421.0035
40, 406.0362, 0.68, 37369.2, 405.0290
41, 174.0165, 0.69, 646667.5, 173.0092
42, 130.0268, 0.72, 430322.3, 129.0195
43, 334.0700, 0.72, 665929.8, 333.0627
44, 330.0589, 0.72, 48414.6, 329.0517
45, 134.0580, 0.72, 1219145.9, 133.0507
46, 392.0055, 0.72, 827185.2, 390.9982
47, 148.0367, 0.72, 1093703.9, 147.0299
48, 617.1172, 0.72, 295343.2, 616.1099
49, 429.9611, 0.72, 86789.8, 428.9539
50, 196.0584, 0.75, 1021953.8, 195.0511
51, 150.0164, 0.75, 8004479.0, 149.0091
52, 134.0216, 0.76, 6838346.0, 133.0143
53, 174.0165, 0.77, 265627.9, 173.0092
54, 752.1324, 0.79, 120501.9, 187.0249
55, 736.1549, 0.79, 125746.4, 735.1476
56, 476.1740, 0.79, 61899.8, 475.1667
57, 332.0749, 0.82, 128169.5, 331.0676
58, 429.9610, 0.82, 25392.8, 428.9537
59, 460.1435, 0.83, 219996.9, 459.1363
60, 389.9896, 0.84, 169911.9, 388.9824
61, 238.0149, 0.84, 137209.8, 237.0077
62, 866.2050, 0.84, 8104.5, 865.1978
63, 392.0054, 0.85, 1387685.8, 390.9981
64, 118.0269, 0.85, 220503.6, 117.0196
65, 148.0372, 0.85, 2205514.5, 147.0299
66, 170.0215, 0.85, 90904.1, 169.0143
67, 502.1905, 0.85, 28948.8, 501.1832
68, 474.1017, 0.85, 53757.9, 473.0944
