#, Max. MW, RT [min], Area, Max. m/z
1, 175.9635, 0.54, 93015.16, 174.9562
2, 159.9859, 0.55, 344600.41, 158.9786
3, 273.9666, 0.55, 1616541.50, 272.9593
4, 736.1552, 0.57, 54562.55, 735.1479
5, 560.1237, 0.58, 34520.49, 559.1164
6, 334.0670, 0.58, 211965.84, 333.0597
7, 342.1165, 0.60, 340306.41, 341.1095
8, 180.0634, 0.61, 121245.65, 179.0561
9, 166.0477, 0.61, 146251.47, 165.0405
10, 196.0583, 0.61, 1556832.25, 195.0510
11, 194.0427, 0.62, 325487.69, 193.0355
12, 378.0935, 0.62, 221067.67, 377.0863
13, 538.1752, 0.62, 66752.51, 537.1680
14, 606.2009, 0.63, 16853.64, 605.1936
15, 492.1338, 0.63, 70231.61, 491.1265
16, 312.0698, 0.63, 186434.17, 311.0625
17, 560.1234, 0.63, 31833.35, 559.1161
18, 370.0756, 0.63, 54588.68, 369.0683
19, 150.0164, 0.63, 10701907.00, 149.0091
20, 468.1164, 0.63, 93660.09, 467.1091
21, 210.0377, 0.63, 148809.11, 209.0304
22, 782.2058, 0.63, 16555.23, 781.1985
23, 599.0057, 0.63, 45387.96, 149.2448
24, 394.0475, 0.64, 53427.68, 393.0403
25, 260.0204, 0.64, 93318.27, 259.0131
26, 292.0240, 0.65, 132287.16, 291.0168
27, 204.0271, 0.65, 318208.38, 205.0355
28, 275.0328, 0.65, 1085063.88, 275.0219
29, 669.9754, 0.66, 133092.66, 133.1793
30, 535.3554, 0.66, 27407.19, 133.0779
31, 134.0215, 0.66, 9492260.00, 133.0142
32, 116.0112, 0.66, 109642.17, 115.0039
33, 752.1486, 0.67, 18409.47, 751.1413
34, 767.9320, 0.68, 49892.08, 191.2231
35, 384.0545, 0.68, 68357.74, 383.0472
36, 192.0269, 0.68, 12004910.00, 191.0196
37, 671.0734, 0.68, 6020.09, 670.0661
38, 422.0105, 0.68, 191115.84, 421.0032
39, 406.0361, 0.68, 45459.26, 405.0289
40, 174.0163, 0.68, 683455.44, 173.0091
41, 296.0739, 0.70, 1008705.44, 147.0299
42, 334.0697, 0.71, 510475.63, 333.0624
43, 130.0267, 0.71, 327913.63, 129.0194
44, 330.0593, 0.71, 52036.49, 329.0520
45, 847.0982, 0.71, 13005.01, 846.0909
46, 134.0579, 0.71, 675171.00, 133.0507
47, 188.0322, 0.72, 148650.52, 187.0249
48, 617.1173, 0.72, 322707.53, 616.1101
49, 392.0057, 0.72, 994902.88, 390.9985
50, 429.9614, 0.73, 76192.79, 428.9541
51, 196.0584, 0.75, 1193229.00, 195.0511
52, 150.0165, 0.75, 7698515.00, 149.0092
53, 134.0216, 0.75, 7137399.50, 133.0144
54, 440.0867, 0.75, 284013.47, 439.0794
55, 307.0033, 0.76, 6401.40, 306.9960
56, 560.1235, 0.77, 116493.27, 559.1162
57, 322.9986, 0.77, 7582.94, 321.9913
58, 381.0040, 0.78, 1181.84, 379.9967
59, 188.0324, 0.82, 191081.75, 187.0251
60, 460.1437, 0.83, 300036.78, 459.1364
