#, Max. MW, RT [min], Area, Max. m/z
1, 175.9635, 0.55, 94678.5, 174.9562
2, 159.9859, 0.55, 333234.8, 158.9786
3, 736.1550, 0.57, 51055.3, 735.1477
4, 560.1228, 0.58, 32436.0, 559.1155
5, 342.1167, 0.60, 205953.5, 341.1094
6, 180.0635, 0.61, 287227.2, 179.0562
7, 166.0477, 0.62, 152961.8, 165.0405
8, 196.0584, 0.62, 1630169.1, 195.0511
9, 384.0308, 0.62, 39904.2, 383.0235
10, 194.0427, 0.62, 299103.5, 193.0355
11, 378.0937, 0.62, 268433.2, 377.0864
12, 606.2020, 0.63, 23133.1, 605.1947
13, 538.1751, 0.63, 89992.2, 537.1678
14, 492.1334, 0.63, 103730.6, 491.1261
15, 370.0752, 0.63, 63955.6, 369.0679
16, 312.0697, 0.63, 285912.2, 311.0624
17, 296.0747, 0.63, 180464.9, 295.0674
18, 224.0533, 0.63, 68894.8, 223.0461
19, 150.0163, 0.64, 11139332.0, 149.0091
20, 210.0377, 0.64, 166759.9, 209.0304
21, 440.0881, 0.64, 326918.4, 439.0808
22, 638.1913, 0.64, 33808.4, 637.1840
23, 782.2057, 0.64, 35262.8, 781.1985
24, 468.1160, 0.64, 51789.2, 467.1087
25, 354.0797, 0.64, 42340.7, 353.0724
26, 394.0463, 0.65, 77845.9, 393.0390
27, 292.0240, 0.65, 139655.3, 291.0167
28, 204.0271, 0.65, 208525.0, 205.0354
29, 275.0328, 0.66, 1040515.4, 275.0220
30, 134.0215, 0.66, 8773874.0, 133.0142
31, 535.9794, 0.67, 54513.4, 132.9876
32, 401.2715, 0.67, 39401.1, 133.0777
33, 116.0112, 0.67, 106925.0, 115.0040
34, 384.0546, 0.68, 45712.9, 383.0473
35, 574.9072, 0.68, 25482.3, 191.2878
36, 192.0270, 0.68, 11174640.0, 191.0197
37, 574.9807, 0.68, 47922.6, 190.9775
38, 752.1507, 0.68, 16734.5, 751.1434
39, 307.0950, 0.69, 37573.7, 307.0846
40, 289.0485, 0.69, 42667.1, 289.0374
41, 764.1317, 0.69, 36141.2, 763.1190
42, 174.0164, 0.69, 659134.7, 173.0092
43, 129.0427, 0.70, 58892.3, 128.0354
44, 348.0504, 0.70, 46677.4, 347.0431
45, 334.0706, 0.72, 1395631.1, 333.0633
46, 130.0268, 0.72, 433600.3, 129.0195
47, 134.0580, 0.72, 2083123.1, 133.0507
48, 148.0372, 0.72, 1258697.8, 147.0299
49, 188.0322, 0.72, 121415.8, 187.0249
50, 392.0056, 0.72, 1196586.3, 390.9983
51, 476.1379, 0.73, 211310.1, 475.1311
52, 196.0584, 0.75, 1071353.6, 195.0512
53, 150.0164, 0.75, 7320638.0, 149.0091
54, 134.0216, 0.76, 6685205.0, 133.0143
55, 379.9998, 0.77, 237877.8, 378.9925
56, 193.0306, 0.78, 200684.8, 192.0233
57, 134.0580, 0.79, 1748501.3, 133.0507
