#, Max. MW, RT [min], Area, Max. m/z
1, 175.9635, 0.54, 85780.4, 174.9562
2, 159.9859, 0.54, 325911.2, 158.9786
3, 273.9665, 0.54, 1494228.9, 272.9593
4, 334.0670, 0.57, 250983.2, 333.0597
5, 388.1222, 0.59, 339699.8, 387.1149
6, 180.0635, 0.60, 119256.6, 179.0562
7, 166.0478, 0.61, 130463.6, 165.0405
8, 196.0584, 0.61, 1412252.1, 195.0511
9, 384.0307, 0.61, 42831.3, 383.0234
10, 337.9889, 0.61, 72685.1, 336.9816
11, 194.0428, 0.61, 240144.9, 193.0355
12, 538.1750, 0.62, 62575.5, 537.1678
13, 296.0748, 0.62, 177478.2, 295.0676
14, 492.1334, 0.62, 88149.1, 491.1261
15, 370.0752, 0.62, 44842.9, 369.0679
16, 150.0164, 0.63, 12558441.0, 149.0092
17, 210.0379, 0.63, 132263.5, 209.0306
18, 260.0207, 0.63, 99803.1, 259.0134
19, 292.0243, 0.64, 151814.0, 291.0171
20, 276.0292, 0.65, 915543.4, 275.0220
21, 204.0271, 0.65, 191427.5, 203.0198
22, 669.9780, 0.65, 147639.8, 133.1793
23, 401.2729, 0.65, 40078.7, 133.0764
24, 670.6969, 0.65, 103274.7, 133.1321
25, 134.0214, 0.65, 10370644.0, 133.0141
26, 116.0111, 0.66, 126079.4, 115.0039
27, 384.0544, 0.67, 58800.1, 383.0472
28, 192.0269, 0.67, 11619667.0, 191.0197
29, 574.9101, 0.67, 48444.5, 191.2876
30, 422.0103, 0.68, 199171.1, 421.0030
31, 651.9925, 0.68, 37201.3, 650.9853
32, 764.1253, 0.68, 32400.2, 763.1180
33, 406.0353, 0.68, 38069.3, 405.0281
34, 174.0164, 0.68, 702279.0, 173.0091
35, 347.0539, 0.69, 68030.9, 347.0428
36, 334.0696, 0.71, 711815.1, 333.0623
37, 130.0266, 0.71, 462956.2, 129.0194
38, 330.0589, 0.71, 42267.8, 329.0517
39, 134.0579, 0.71, 841912.6, 133.0506
40, 275.0688, 0.71, 180076.8, 275.0580
41, 392.0053, 0.71, 671849.6, 390.9980
42, 148.0366, 0.71, 1688143.4, 147.0298
43, 290.0812, 0.72, 57967.2, 289.0739
44, 429.9610, 0.72, 93904.2, 428.9537
45, 476.1375, 0.72, 181335.6, 475.1306
46, 150.0164, 0.74, 8801120.0, 149.0091
47, 196.0584, 0.74, 965110.7, 195.0511
48, 440.0858, 0.75, 289181.5, 439.0785
49, 134.0215, 0.75, 7971109.5, 133.0142
50, 668.9458, 0.76, 38017.2, 132.9887
51, 174.0164, 0.76, 297979.8, 173.0092
52, 332.0744, 0.79, 478981.3, 333.0627
53, 460.1430, 0.82, 266099.2, 459.1357
54, 238.0150, 0.83, 109973.9, 237.0077
55, 352.0672, 0.83, 46261.4, 351.0599
56, 389.9895, 0.83, 165630.3, 388.9822
57, 392.0053, 0.84, 1399940.5, 390.9980
58, 118.0268, 0.84, 287263.3, 117.0195
59, 290.0812, 0.84, 99667.1, 289.0739
60, 148.0371, 0.84, 3782466.0, 147.0298
61, 162.0528, 0.85, 467996.1, 161.0455
62, 170.0215, 0.85, 112254.7, 169.0142
