#, Max. MW, RT [min], Area, Max. m/z
1, 289.9445, 0.53, 499455.5, 288.9372
2, 175.9637, 0.54, 164656.3, 174.9564
3, 159.9861, 0.54, 235169.2, 158.9788
4, 273.9668, 0.54, 1233130.6, 272.9595
5, 560.1230, 0.57, 35098.0, 559.1157
6, 334.0670, 0.57, 214146.3, 333.0598
7, 388.1224, 0.59, 423622.2, 387.1151
8, 180.0637, 0.60, 107792.3, 179.0564
9, 166.0478, 0.61, 124371.6, 165.0405
10, 196.0585, 0.61, 1443570.5, 195.0513
11, 378.0938, 0.61, 254126.5, 377.0865
12, 194.0429, 0.61, 205980.8, 193.0356
13, 538.1753, 0.62, 81400.8, 537.1680
14, 296.0751, 0.62, 154868.5, 295.0678
15, 312.0701, 0.62, 242699.7, 311.0628
16, 492.1336, 0.62, 89865.5, 491.1263
17, 224.0537, 0.62, 52835.7, 223.0464
18, 370.0754, 0.62, 41641.8, 369.0681
19, 638.1914, 0.63, 28667.1, 637.1841
20, 210.0380, 0.63, 140781.3, 209.0308
21, 150.0165, 0.63, 10889860.0, 149.0093
22, 468.1159, 0.63, 265872.7, 467.1086
23, 422.0740, 0.63, 45181.3, 421.0668
24, 125.9989, 0.63, 110469.6, 124.9916
25, 354.0802, 0.63, 32774.3, 353.0729
26, 394.0479, 0.63, 35389.6, 393.0406
27, 260.0207, 0.64, 104087.0, 259.0134
28, 292.0244, 0.64, 152555.1, 291.0171
29, 276.0294, 0.65, 1134289.3, 275.0221
30, 401.5197, 0.65, 17228.2, 132.8326
31, 133.7781, 0.65, 12549.0, 132.7708
32, 669.9782, 0.65, 168820.7, 133.1798
33, 134.0216, 0.65, 10701506.0, 133.0143
34, 670.6983, 0.65, 109083.8, 133.1324
35, 116.0113, 0.66, 123837.9, 115.0040
36, 267.5256, 0.66, 32390.8, 133.2653
37, 204.0273, 0.66, 164311.6, 203.0200
38, 307.0869, 0.66, 19526.3, 307.0845
39, 192.0272, 0.67, 10870923.0, 191.0199
40, 574.9776, 0.67, 26798.8, 190.9783
41, 422.0107, 0.68, 178190.0, 421.0034
42, 406.0362, 0.68, 44812.6, 405.0290
43, 174.0166, 0.68, 926704.4, 173.0093
44, 334.0700, 0.71, 800598.9, 333.0627
45, 130.0268, 0.71, 421938.2, 129.0195
46, 134.0580, 0.71, 786304.3, 133.0508
47, 429.9614, 0.71, 121411.6, 428.9541
48, 148.0373, 0.71, 933725.9, 147.0300
49, 392.0057, 0.71, 791584.8, 390.9984
50, 655.0727, 0.71, 11641.0, 654.0654
51, 743.1152, 0.72, 14284.6, 742.1079
52, 150.0166, 0.74, 7732774.0, 149.0094
53, 196.0586, 0.75, 1044867.2, 195.0514
54, 134.0217, 0.75, 8393387.0, 133.0144
55, 440.0867, 0.76, 244610.2, 439.0794
56, 307.0043, 0.76, 10165.7, 306.9932
57, 476.1745, 0.78, 92016.0, 475.1673
58, 134.0581, 0.79, 580435.8, 133.0508
59, 736.1552, 0.79, 114959.9, 735.1480
60, 188.0324, 0.81, 121776.2, 187.0252
61, 460.1439, 0.82, 153736.3, 459.1366
62, 238.0153, 0.83, 116652.1, 237.0080
63, 389.9900, 0.83, 197327.5, 388.9827
64, 392.0058, 0.84, 1446542.6, 390.9985
65, 740.2741, 0.84, 25033.9, 739.2668
66, 118.0270, 0.84, 204676.9, 117.0197
67, 478.1332, 0.84, 34402.4, 477.1259
68, 148.0373, 0.84, 2293594.5, 147.0300
69, 474.1018, 0.84, 56241.3, 473.0945
70, 206.0430, 0.84, 125210.9, 205.0357
71, 383.1086, 0.84, 109081.8, 382.1014
72, 170.0217, 0.84, 83076.6, 169.0144
73, 162.0530, 0.85, 259975.2, 161.0458
74, 360.0703, 0.85, 115803.2, 359.0630
75, 347.0906, 0.85, 128562.6, 347.0803
76, 1000.2239, 0.85, 29264.3, 999.2166
77, 743.1157, 0.86, 36135.8, 742.1085
78, 275.1059, 0.86, 307054.5, 275.0952
79, 617.1174, 0.86, 2477718.3, 616.1101
80, 715.0872, 0.87, 231967.8, 714.0799
81, 615.1015, 0.87, 224378.1, 614.0943
82, 370.0367, 0.88, 97120.0, 369.0294
83, 458.1071, 0.88, 94993.6, 457.0998
84, 182.0614, 0.88, 246111.2, 181.0542
85, 394.0576, 0.89, 79216.7, 393.0503
86, 514.1889, 0.89, 8072.4, 514.1788
87, 369.1066, 0.89, 411378.8, 368.0994
88, 344.0748, 0.89, 30728.1, 343.0676
89, 478.1330, 0.90, 36279.4, 477.1257
90, 380.1688, 0.91, 65142.7, 380.1569
91, 658.1001, 0.91, 96787.1, 657.0929
92, 118.0270, 0.92, 103704.7, 117.0197
93, 563.0954, 0.92, 30542.3, 562.0881
94, 178.0480, 0.93, 408258.0, 177.0407
95, 389.9901, 0.93, 171263.2, 388.9828
