#, Max. MW, RT [min], Area, Max. m/z
1, 175.9635, 0.54, 80823.2, 174.9562
2, 159.9859, 0.55, 348526.0, 158.9786
3, 273.9664, 0.55, 1487850.6, 272.9591
4, 736.1545, 0.57, 55342.8, 735.1472
5, 560.1222, 0.58, 35692.5, 559.1149
6, 342.1162, 0.60, 365077.5, 341.1091
7, 180.0628, 0.60, 1268481.9, 179.0560
8, 166.0476, 0.61, 218956.2, 165.0404
9, 216.0401, 0.61, 609895.9, 215.0329
10, 196.0583, 0.61, 1837426.6, 195.0510
11, 194.0426, 0.62, 345563.5, 193.0353
12, 278.0404, 0.62, 106041.4, 277.0332
13, 538.1747, 0.62, 71365.6, 537.1674
14, 606.2010, 0.62, 16941.2, 605.1937
15, 296.0746, 0.63, 181061.8, 295.0673
16, 370.0751, 0.63, 51523.5, 369.0678
17, 492.1330, 0.63, 65880.0, 491.1258
18, 312.0696, 0.63, 177258.1, 311.0624
19, 440.0890, 0.63, 212619.3, 439.0817
20, 210.0377, 0.63, 138763.0, 209.0304
21, 150.0163, 0.63, 10211438.0, 149.0090
22, 378.0931, 0.63, 255632.8, 377.0861
23, 638.1909, 0.63, 23834.8, 637.1837
24, 468.1157, 0.63, 110020.9, 467.1085
25, 422.0741, 0.64, 25535.6, 421.0668
26, 260.0206, 0.64, 89151.7, 259.0133
27, 394.0468, 0.64, 52657.1, 393.0395
28, 354.0799, 0.65, 28605.1, 353.0727
29, 204.0272, 0.65, 211902.4, 205.0354
30, 275.0328, 0.65, 732644.4, 275.0219
31, 116.0111, 0.66, 100410.4, 115.0038
32, 134.0214, 0.66, 8462910.0, 133.0141
33, 669.9797, 0.66, 100901.6, 133.1798
34, 535.3205, 0.66, 31881.2, 133.0777
35, 401.5216, 0.66, 16276.9, 132.8333
36, 767.9411, 0.67, 47502.9, 191.2252
37, 958.7352, 0.68, 78583.2, 191.1601
38, 192.0269, 0.68, 11457573.0, 191.0197
39, 764.1258, 0.68, 18592.8, 763.1186
40, 534.1430, 0.68, 45040.5, 533.1358
41, 422.0104, 0.68, 142600.5, 421.0031
42, 174.0164, 0.68, 877970.6, 173.0091
43, 669.9381, 0.71, 42204.9, 133.1723
44, 334.0700, 0.71, 955027.3, 333.0628
45, 330.0586, 0.71, 49186.6, 329.0513
46, 134.0577, 0.71, 1857807.6, 133.0505
47, 148.0370, 0.72, 994668.9, 147.0297
48, 188.0319, 0.72, 155806.0, 187.0247
49, 392.0051, 0.72, 1019633.2, 390.9978
50, 619.1188, 0.72, 22862.5, 618.1116
51, 429.9606, 0.72, 83064.8, 428.9534
52, 1234.2318, 0.74, 335724.8, 616.1091
53, 476.1372, 0.75, 171623.5, 475.1304
54, 150.0162, 0.75, 6893929.0, 149.0090
55, 180.0633, 0.75, 390326.2, 179.0560
56, 196.0582, 0.75, 1201782.4, 195.0509
57, 134.0214, 0.75, 6631223.5, 133.0141
58, 210.0377, 0.76, 119295.2, 209.0304
59, 476.1736, 0.79, 120477.8, 475.1663
60, 134.0578, 0.79, 1805052.4, 133.0505
61, 188.0319, 0.81, 144309.2, 187.0246
62, 460.1427, 0.83, 246775.0, 459.1354
63, 238.0147, 0.83, 86054.5, 237.0075
64, 389.9890, 0.84, 193617.3, 388.9817
65, 392.0048, 0.84, 1288732.6, 390.9975
66, 118.0266, 0.84, 229342.5, 117.0194
67, 148.0370, 0.85, 2490529.8, 147.0297
68, 252.0844, 0.85, 76764.9, 251.0771
69, 391.0890, 0.85, 71600.4, 390.0817
70, 170.0214, 0.85, 90895.8, 169.0141
71, 474.1014, 0.85, 43258.7, 473.0941
72, 162.0527, 0.85, 238408.4, 161.0454
73, 383.1077, 0.85, 98363.4, 382.1004
74, 502.1891, 0.85, 29043.1, 501.1819
75, 352.0652, 0.85, 94534.9, 351.0597
76, 360.0693, 0.86, 50234.5, 359.0620
77, 348.0864, 0.86, 34283.3, 347.0792
78, 275.1053, 0.87, 837424.0, 275.0946
79, 220.0042, 0.87, 75954.5, 218.9969
80, 715.0859, 0.87, 152643.5, 714.0786
81, 615.1008, 0.88, 182658.6, 614.0935
82, 146.0579, 0.88, 134372.9, 145.0506
83, 503.2226, 0.88, 23635.7, 502.2153
84, 458.1063, 0.89, 89203.5, 457.0991
85, 182.0613, 0.89, 289996.4, 181.0540
86, 381.1637, 0.90, 111916.2, 380.1564
87, 394.0570, 0.90, 70516.3, 393.0498
88, 658.0994, 0.90, 20901.0, 657.0921
89, 369.1062, 0.90, 401264.5, 368.0989
90, 324.1423, 0.91, 84109.9, 323.1350
91, 446.2016, 0.93, 58715.0, 445.1943
92, 178.0478, 0.94, 809913.8, 177.0405
93, 160.0372, 0.94, 73691.1, 159.0299
94, 434.1057, 0.95, 26991.6, 433.0985
95, 316.0797, 0.95, 1005421.5, 315.0724
96, 238.0512, 0.95, 91689.6, 237.0439
97, 392.0052, 0.96, 2470064.8, 390.9979
98, 330.0959, 0.96, 19994.2, 330.1006
99, 488.1169, 0.96, 124120.7, 487.1096
100, 435.1853, 0.96, 261313.1, 434.1780
101, 617.1164, 0.96, 1569352.4, 616.1091
102, 615.1009, 0.97, 304735.1, 614.0936
103, 280.1159, 0.97, 312728.3, 279.1086
104, 219.1107, 0.98, 200158.5, 218.1035
105, 474.1013, 0.98, 47946.3, 473.0940
106, 624.0956, 0.99, 16835.8, 623.0884
107, 148.0734, 1.00, 1030309.1, 147.0661
108, 259.9992, 1.00, 82295.4, 258.9919
109, 231.0200, 1.01, 63398.0, 230.0127
110, 472.2176, 1.01, 14130.4, 471.2103
111, 464.1894, 1.02, 93685.4, 463.1821
112, 444.2223, 1.02, 35823.9, 443.2150
113, 729.1584, 1.02, 22100.7, 728.1511
114, 728.2000, 1.02, 65541.8, 727.1927
115, 289.1211, 1.03, 40979.2, 289.1101
116, 434.1424, 1.03, 226371.4, 433.1351
117, 162.0527, 1.03, 1726981.5, 161.0454
118, 494.1637, 1.03, 146613.0, 495.1544
119, 414.0878, 1.03, 118235.0, 413.0805
120, 450.1735, 1.03, 108520.6, 449.1663
121, 632.2315, 1.03, 127934.8, 631.2242
122, 632.1942, 1.03, 62844.6, 631.1869
123, 154.0629, 1.03, 162099.8, 153.0556
124, 352.0925, 1.03, 118338.8, 351.0852
125, 316.1159, 1.04, 1566658.9, 315.1086
126, 490.1685, 1.04, 55893.1, 489.1612
127, 406.1478, 1.04, 69432.0, 405.1406
128, 596.2314, 1.04, 50255.0, 595.2241
129, 180.0455, 1.05, 487967.5, 179.0383
130, 198.0561, 1.05, 260522.5, 197.0488
131, 415.0541, 1.06, 35069.8, 414.0468
132, 491.2049, 1.07, 42506.2, 490.1976
133, 423.1997, 1.07, 3559.9, 422.1924
134, 154.0265, 1.07, 394739.5, 153.0192
135, 305.1587, 1.09, 23433.4, 304.1514
136, 583.1978, 1.10, 25450.1, 582.1906
137, 132.0422, 1.10, 71219.5, 131.0349
138, 284.0466, 1.11, 72939.3, 283.0394
139, 312.0871, 1.12, 35235.6, 311.0798
140, 372.1058, 1.12, 92398.1, 371.0986
141, 330.0952, 1.15, 56160.6, 329.0879
142, 719.2203, 1.15, 22268.8, 718.2130
143, 505.2205, 1.17, 33116.1, 504.2133
144, 1154.2666, 1.19, 16214.8, 1153.2594
145, 162.0526, 1.19, 2496744.8, 161.0453
146, 220.0582, 1.19, 256116.7, 219.0509
147, 174.0163, 1.20, 161458.3, 173.0090
148, 376.0816, 1.20, 414597.0, 375.0743
149, 532.1065, 1.21, 85598.9, 531.0992
150, 178.0263, 1.21, 1643190.9, 177.0191
151, 1010.3581, 1.22, 12541.3, 1009.3508
152, 622.9219, 1.22, 143441.0, 311.4476
153, 678.1904, 1.22, 14329.0, 677.1831
154, 312.0480, 1.22, 11552381.0, 311.0407
155, 522.1941, 1.23, 31252.4, 521.1868
156, 662.0514, 1.23, 101639.4, 661.0441
157, 311.5477, 1.23, 6163.8, 311.5371
158, 1247.5926, 1.23, 25511.0, 311.3764
159, 704.0526, 1.23, 76297.5, 703.0453
160, 935.7657, 1.23, 20301.2, 310.9146
161, 623.8158, 1.23, 20419.4, 622.8085
162, 360.1417, 1.23, 20513.7, 360.1406
163, 310.0324, 1.23, 2786898.3, 309.0251
164, 672.1893, 1.23, 58723.3, 671.1820
165, 677.0067, 1.24, 56670.0, 675.9994
166, 974.0956, 1.24, 17108.5, 973.0883
167, 144.0420, 1.24, 1064377.6, 143.0348
168, 989.0538, 1.24, 13839.7, 988.0465
169, 622.8640, 1.24, 55634.8, 310.9233
170, 722.0712, 1.24, 29999.7, 721.0640
171, 622.9680, 1.24, 34729.8, 622.9519
172, 1871.6789, 1.24, 40463.3, 622.8857
173, 622.0802, 1.24, 886446.8, 621.0729
174, 936.1435, 1.24, 79635.2, 935.1362
175, 620.0642, 1.24, 24963.5, 619.0569
176, 646.0773, 1.24, 156089.3, 645.0700
177, 150.0162, 1.24, 4821408.5, 149.0089
178, 624.0958, 1.25, 6077999.0, 623.0885
179, 180.0420, 1.25, 3447206.8, 179.0347
180, 935.9470, 1.25, 60474.2, 311.3029
181, 1247.8778, 1.25, 48782.3, 623.4418
182, 410.0191, 1.25, 288284.7, 409.0119
183, 136.0523, 1.25, 386664.0, 135.0450
184, 328.0429, 1.25, 190236.9, 327.0357
185, 890.1892, 1.25, 489122.1, 889.1819
186, 622.9913, 1.25, 23037.2, 622.9736
187, 958.1173, 1.25, 17535.7, 957.1100
188, 578.1424, 1.25, 355193.7, 577.1351
189, 622.8390, 1.25, 10399.8, 310.9007
190, 654.1430, 1.27, 75401.6, 653.1357
191, 754.3245, 1.27, 53964.5, 753.3172
192, 462.0649, 1.27, 53667.0, 461.0576
193, 342.0948, 1.27, 71497.3, 341.0875
194, 904.3200, 1.27, 173095.4, 903.3127
195, 564.0780, 1.28, 183867.8, 563.0707
196, 638.2788, 1.28, 48548.5, 637.2715
197, 617.1159, 1.28, 7984.0, 617.1288
198, 252.0302, 1.29, 134938.3, 251.0229
199, 686.1304, 1.30, 63337.4, 685.1231
200, 257.9833, 1.30, 237743.9, 256.9760
201, 147.0319, 1.30, 86627.8, 146.0247
202, 207.0530, 1.30, 450951.9, 206.0457
203, 603.0887, 1.32, 27224.2, 602.0815
204, 346.1261, 1.32, 48555.7, 345.1188
205, 291.0412, 1.33, 148934.1, 290.0340
206, 479.2379, 1.34, 27732.9, 478.2306
207, 312.0104, 1.35, 41790.1, 154.9986
208, 158.0579, 1.36, 97358.0, 157.0506
209, 220.0583, 1.37, 2620937.5, 219.0510
210, 174.0164, 1.38, 369540.1, 173.0091
211, 488.1533, 1.39, 34640.6, 487.1460
212, 228.1112, 1.39, 57503.5, 227.1039
213, 558.3740, 1.40, 71094.1, 557.3667
214, 584.3534, 1.40, 174195.3, 583.3462
215, 431.1589, 1.40, 45866.3, 431.1554
216, 182.0579, 1.41, 277903.3, 181.0507
217, 458.2484, 1.41, 57051.8, 457.2412
218, 363.1829, 1.41, 113339.5, 362.1756
219, 594.2644, 1.41, 20436.6, 593.2571
220, 485.1104, 1.42, 94830.8, 484.1032
221, 503.2404, 1.42, 18723.2, 502.2331
222, 259.9991, 1.43, 44042.6, 258.9918
223, 320.1043, 1.44, 49580.0, 319.0970
224, 576.2416, 1.45, 172318.8, 575.2344
225, 331.1745, 1.45, 57372.5, 330.1672
226, 616.1791, 1.45, 34242.7, 615.1718
227, 301.1163, 1.45, 146921.3, 300.1090
228, 542.1712, 1.46, 62627.0, 541.1640
229, 888.3989, 1.46, 197376.7, 887.3916
230, 444.1997, 1.46, 2397603.5, 443.1925
231, 415.1122, 1.48, 30715.9, 414.1049
232, 578.1429, 1.48, 71527.9, 577.1356
233, 414.1741, 1.49, 130899.9, 413.1669
234, 358.2583, 1.49, 80397.1, 357.2510
235, 174.0529, 1.50, 151644.1, 173.0457
236, 389.1800, 1.50, 54971.4, 388.1727
237, 330.0956, 1.51, 58407.8, 329.0883
238, 367.1385, 1.51, 123204.6, 366.1312
239, 359.2060, 1.52, 53121.9, 358.1988
240, 162.0892, 1.54, 339035.7, 161.0819
241, 458.1792, 1.54, 47883.6, 457.1719
242, 144.0421, 1.56, 39907.1, 144.0454
243, 866.2054, 1.57, 144924.0, 865.1981
244, 202.0478, 1.57, 58619.1, 201.0405
245, 233.0900, 1.58, 96263.3, 232.0827
246, 331.2108, 1.58, 42022.5, 330.2035
247, 370.0361, 1.58, 40154.7, 369.0288
248, 286.1052, 1.62, 124310.5, 285.0979
249, 383.1220, 1.63, 59893.9, 382.1147
250, 466.2429, 1.64, 15635.4, 465.2356
251, 300.0848, 1.65, 286545.0, 299.0775
252, 616.1791, 1.65, 53122.0, 615.1718
253, 705.2054, 1.66, 23948.7, 704.1982
254, 621.1640, 1.66, 13169.4, 620.1567
255, 428.2635, 1.68, 178889.9, 427.2562
256, 466.1111, 1.70, 96525.8, 465.1039
257, 718.3425, 1.70, 31569.1, 717.3352
258, 380.1107, 1.70, 99001.3, 379.1034
259, 191.0616, 1.70, 47838.7, 190.0543
260, 326.0559, 1.70, 108583.2, 325.0486
261, 290.0792, 1.70, 1919172.3, 289.0719
262, 580.1583, 1.71, 130212.6, 579.1510
263, 408.1062, 1.71, 85864.5, 407.0989
264, 424.1371, 1.71, 78939.5, 423.1298
265, 510.1773, 1.71, 297264.0, 509.1700
266, 418.1476, 1.72, 176208.7, 417.1403
267, 623.2609, 1.72, 17468.9, 622.2536
268, 447.0838, 1.74, 115910.4, 446.0765
269, 344.1107, 1.74, 90247.3, 343.1035
270, 517.2751, 1.74, 104262.7, 516.2678
