#, Max. MW, RT [min], Area, Max. m/z
1, 175.9637, 0.54, 83712.6, 174.9564
2, 159.9861, 0.55, 337451.2, 158.9788
3, 273.9667, 0.55, 1397130.5, 272.9594
4, 736.1554, 0.57, 58902.2, 735.1481
5, 560.1230, 0.58, 35855.0, 559.1157
6, 334.0672, 0.58, 229375.8, 333.0600
7, 606.2013, 0.59, 32789.5, 605.1940
8, 342.1164, 0.60, 386006.9, 341.1095
9, 180.0631, 0.60, 1217434.6, 179.0562
10, 166.0479, 0.61, 206207.0, 165.0406
11, 216.0403, 0.61, 502693.1, 215.0330
12, 196.0584, 0.61, 1818253.3, 195.0512
13, 378.0936, 0.62, 246705.1, 377.0864
14, 194.0428, 0.62, 332233.1, 193.0355
15, 538.1749, 0.63, 77866.9, 537.1676
16, 312.0700, 0.63, 185072.0, 311.0627
17, 492.1336, 0.63, 85131.2, 491.1263
18, 370.0751, 0.63, 60207.3, 369.0679
19, 440.0889, 0.63, 226045.4, 439.0816
20, 210.0380, 0.63, 139072.1, 209.0307
21, 150.0165, 0.63, 10575181.0, 149.0092
22, 468.1158, 0.64, 99250.8, 467.1086
23, 260.0209, 0.64, 112719.2, 259.0136
24, 394.0469, 0.65, 49485.5, 393.0396
25, 292.0243, 0.65, 102822.8, 291.0170
26, 276.0294, 0.66, 694508.5, 275.0221
27, 401.2734, 0.66, 38240.6, 133.0765
28, 535.9829, 0.66, 68464.3, 132.9884
29, 204.0272, 0.66, 111527.6, 203.0199
30, 670.6949, 0.66, 81011.7, 133.1317
31, 134.0215, 0.66, 9395656.0, 133.0143
32, 116.0112, 0.66, 110140.6, 115.0039
33, 670.0703, 0.67, 95571.6, 669.0630
34, 574.9039, 0.68, 25611.2, 191.2874
35, 384.0546, 0.68, 36201.1, 383.0473
36, 767.9361, 0.68, 48637.4, 191.2248
37, 192.0270, 0.68, 11598353.0, 191.0198
38, 534.1432, 0.68, 36889.3, 533.1360
39, 174.0165, 0.68, 916885.9, 173.0092
40, 422.0103, 0.68, 165925.3, 421.0030
