#, Max. MW, RT [min], Area, Max. m/z
1, 175.9632, 0.53, 105600.0, 174.9560
2, 159.9857, 0.54, 314646.1, 158.9785
3, 273.9666, 0.54, 1350567.3, 272.9594
4, 736.1604, 0.56, 54289.1, 735.1531
5, 334.0672, 0.56, 200065.6, 333.0600
6, 560.1255, 0.57, 110784.9, 559.1182
7, 370.0757, 0.57, 32442.0, 369.0684
8, 658.1040, 0.58, 22877.6, 657.0967
9, 342.1171, 0.58, 321296.5, 341.1100
10, 180.0627, 0.59, 2403565.3, 179.0559
11, 196.0582, 0.60, 2345716.0, 195.0509
12, 166.0476, 0.60, 269416.0, 165.0403
13, 216.0401, 0.60, 1274159.6, 215.0328
14, 194.0426, 0.60, 401398.7, 193.0354
15, 606.2044, 0.60, 31734.7, 605.1971
16, 378.0944, 0.60, 153843.7, 377.0871
17, 278.0404, 0.60, 178084.3, 277.0331
18, 312.0700, 0.61, 259832.7, 311.0628
19, 370.0760, 0.61, 51923.3, 369.0687
20, 296.0751, 0.61, 200705.5, 295.0679
21, 492.1354, 0.62, 68033.4, 491.1281
22, 150.0163, 0.62, 10916113.0, 149.0091
23, 638.1949, 0.62, 21238.3, 637.1876
24, 210.0378, 0.62, 97712.4, 209.0305
25, 440.0904, 0.62, 481856.1, 439.0831
26, 354.0810, 0.63, 45316.0, 353.0737
27, 394.0474, 0.63, 48979.6, 393.0401
28, 260.0209, 0.64, 103568.3, 259.0136
29, 536.1603, 0.64, 127048.6, 537.1703
30, 204.0272, 0.64, 118760.9, 203.0199
31, 275.0330, 0.65, 362585.5, 275.0221
32, 669.9686, 0.65, 107181.2, 133.1789
33, 134.0214, 0.65, 8018162.5, 133.0141
34, 116.0112, 0.66, 93776.6, 115.0039
35, 574.8968, 0.66, 35651.9, 191.2851
36, 192.0268, 0.66, 12839478.0, 191.0196
37, 767.9254, 0.67, 69070.3, 191.2174
38, 422.0114, 0.67, 135903.0, 421.0041
39, 764.1319, 0.67, 20108.8, 763.1247
40, 174.0163, 0.68, 1051650.5, 173.0090
41, 270.0955, 0.70, 161805.9, 269.0882
42, 330.0595, 0.70, 52062.3, 329.0522
43, 334.0704, 0.70, 566231.6, 333.0632
44, 134.0578, 0.71, 925835.3, 133.0505
45, 130.0266, 0.71, 463248.5, 129.0194
46, 314.1222, 0.71, 252101.0, 313.1149
47, 148.0370, 0.71, 819735.1, 147.0298
48, 188.0321, 0.71, 124461.2, 187.0249
49, 617.1204, 0.71, 354052.6, 616.1131
50, 392.0064, 0.71, 1250747.1, 390.9992
51, 429.9624, 0.73, 156398.4, 428.9552
52, 150.0163, 0.74, 10891112.0, 149.0090
53, 226.0690, 0.74, 296688.3, 225.0617
54, 134.0214, 0.75, 6277572.5, 133.0142
55, 330.0597, 0.78, 45069.3, 329.0524
56, 134.0578, 0.78, 977273.2, 133.0506
57, 188.0321, 0.80, 149678.4, 187.0248
58, 332.0753, 0.81, 93012.6, 331.0680
59, 370.0757, 0.81, 173404.9, 369.0685
60, 196.0582, 0.82, 2031103.8, 195.0509
61, 298.0904, 0.82, 152450.0, 297.0831
62, 390.1022, 0.83, 15553.6, 390.0836
63, 238.0148, 0.83, 113386.7, 237.0076
64, 392.0063, 0.83, 881359.9, 390.9990
65, 704.2269, 0.83, 18138.9, 703.2197
66, 607.2066, 0.84, 1273.2, 607.2094
67, 148.0370, 0.84, 1852259.9, 147.0297
68, 170.0214, 0.84, 64152.7, 169.0141
69, 360.0701, 0.84, 58432.8, 359.0628
70, 347.0908, 0.85, 72930.2, 347.0796
71, 460.1449, 0.85, 399033.1, 459.1376
72, 276.1022, 0.85, 116273.6, 275.0949
73, 1234.2450, 0.86, 94671.1, 1233.2377
74, 715.0918, 0.86, 179350.7, 714.0845
75, 617.1200, 0.86, 2196076.5, 616.1127
76, 655.0756, 0.86, 62106.8, 654.0683
77, 615.1044, 0.87, 212725.1, 614.0971
78, 370.0368, 0.87, 78956.9, 369.0295
79, 458.1087, 0.88, 100351.4, 457.1014
80, 226.0688, 0.88, 156165.3, 225.0616
81, 479.1379, 0.88, 14364.3, 478.1306
82, 394.0578, 0.88, 70808.0, 393.0505
83, 467.0792, 0.89, 21151.9, 466.0720
84, 369.1071, 0.89, 338404.5, 368.0998
85, 381.1648, 0.89, 41978.7, 380.1575
86, 324.1427, 0.89, 65273.1, 323.1355
87, 344.0752, 0.90, 39791.0, 343.0679
88, 178.0475, 0.90, 2608542.8, 179.0559
89, 658.1030, 0.91, 62995.2, 657.0957
90, 148.0370, 0.91, 599218.9, 147.0298
91, 520.1663, 0.92, 34255.4, 519.1591
92, 358.1120, 0.92, 53711.9, 357.1047
