#, Max. MW, RT [min], Area, Max. m/z
1, 289.9441, 0.54, 386518.7, 288.9369
2, 175.9632, 0.54, 117267.6, 174.9559
3, 159.9856, 0.55, 343721.1, 158.9784
4, 273.9664, 0.55, 1491413.9, 272.9591
5, 560.1250, 0.58, 34020.1, 559.1177
6, 334.0670, 0.58, 191999.6, 333.0598
7, 370.0756, 0.58, 31890.7, 369.0683
8, 342.1168, 0.60, 345034.6, 341.1096
9, 180.0627, 0.60, 2159256.0, 179.0559
10, 162.0526, 0.60, 139754.4, 161.0453
11, 166.0476, 0.61, 257037.9, 165.0403
12, 196.0582, 0.61, 2160074.3, 195.0509
13, 216.0400, 0.61, 1083367.8, 215.0328
14, 606.2034, 0.61, 34646.2, 605.1961
15, 194.0425, 0.61, 394530.6, 193.0352
16, 378.0938, 0.62, 190427.1, 377.0865
17, 278.0399, 0.62, 155636.2, 277.0327
18, 312.0698, 0.62, 330076.5, 311.0625
19, 370.0757, 0.62, 59772.6, 369.0684
20, 296.0748, 0.63, 201650.3, 295.0675
21, 492.1346, 0.63, 71236.9, 491.1273
22, 224.0531, 0.63, 68602.2, 223.0459
23, 450.4274, 0.63, 120949.1, 149.1352
24, 150.0161, 0.63, 11448036.0, 149.0089
25, 440.0896, 0.63, 334405.6, 439.0823
26, 638.1937, 0.63, 26828.4, 637.1864
27, 210.0374, 0.63, 158971.1, 209.0301
28, 468.1168, 0.64, 73352.3, 467.1095
29, 536.1598, 0.64, 147987.0, 537.1694
30, 354.0804, 0.64, 40750.2, 353.0731
31, 394.0469, 0.65, 57678.9, 393.0396
32, 260.0208, 0.65, 113653.5, 259.0135
33, 292.0240, 0.65, 70375.8, 291.0168
34, 204.0268, 0.65, 297316.0, 205.0353
35, 275.0326, 0.66, 484836.8, 275.0219
36, 134.0214, 0.66, 8498960.0, 133.0141
37, 116.0111, 0.66, 103232.7, 115.0038
38, 749.8599, 0.66, 12798.5, 148.9647
39, 535.0202, 0.67, 57463.4, 132.9868
40, 575.0091, 0.68, 44566.8, 190.9845
41, 767.9280, 0.68, 108204.3, 191.2171
42, 192.0268, 0.68, 12531235.0, 191.0195
43, 574.8978, 0.68, 29257.7, 191.2854
44, 670.0737, 0.68, 28210.0, 669.0664
45, 422.0112, 0.68, 161742.3, 421.0039
46, 174.0163, 0.68, 1034749.7, 173.0090
47, 270.0955, 0.71, 112112.4, 269.0882
48, 330.0594, 0.71, 54748.3, 329.0522
49, 334.0704, 0.71, 606224.6, 333.0631
50, 130.0266, 0.71, 307133.9, 129.0193
51, 314.1222, 0.72, 105121.2, 313.1149
52, 148.0371, 0.72, 765074.3, 147.0298
53, 238.0148, 0.72, 63481.0, 237.0075
54, 188.0320, 0.72, 123170.4, 187.0247
55, 392.0062, 0.72, 1376544.4, 390.9989
56, 134.0575, 0.73, 2859557.8, 133.0506
57, 150.0163, 0.75, 10300928.0, 149.0090
58, 134.0215, 0.76, 6577555.5, 133.0142
59, 1234.2403, 0.76, 394258.4, 616.1125
60, 380.0006, 0.77, 106145.8, 378.9933
61, 332.0752, 0.79, 567213.6, 333.0634
62, 134.0579, 0.80, 976371.4, 133.0506
63, 188.0320, 0.82, 148586.0, 187.0247
64, 736.1598, 0.82, 175753.3, 735.1525
65, 196.0582, 0.82, 1637835.6, 195.0509
66, 194.9941, 0.83, 8931.9, 193.9868
67, 469.1199, 0.84, 52250.1, 469.1031
68, 389.9905, 0.84, 219184.8, 388.9833
69, 460.1445, 0.84, 292019.9, 459.1372
70, 238.0147, 0.84, 134304.6, 237.0074
71, 392.0060, 0.84, 1084326.4, 390.9987
72, 148.0370, 0.85, 1947181.0, 147.0297
73, 474.1032, 0.85, 58886.1, 473.0959
74, 298.0903, 0.85, 89527.4, 297.0830
75, 162.0527, 0.85, 229040.7, 161.0454
76, 360.0699, 0.86, 70020.5, 359.0626
77, 347.0909, 0.86, 78727.4, 347.0798
78, 275.1056, 0.87, 219581.8, 275.0947
79, 715.0903, 0.87, 251016.0, 714.0830
80, 617.1195, 0.87, 2660415.8, 616.1122
81, 655.0752, 0.88, 68041.9, 654.0679
82, 615.1037, 0.88, 258385.6, 614.0964
83, 180.0631, 0.89, 892102.8, 179.0558
84, 182.0611, 0.89, 236192.0, 181.0538
85, 259.9987, 0.90, 49266.4, 258.9914
86, 394.0578, 0.90, 78681.1, 393.0505
87, 467.0771, 0.91, 24379.5, 466.0698
88, 369.1069, 0.91, 406564.0, 368.0996
89, 381.1646, 0.91, 53636.8, 380.1573
90, 324.1425, 0.91, 87545.7, 323.1352
91, 327.1326, 0.92, 37214.8, 326.1253
92, 148.0370, 0.92, 442951.7, 147.0298
93, 658.1023, 0.93, 61298.9, 657.0951
94, 429.9618, 0.94, 51063.7, 428.9546
95, 178.0475, 0.94, 507153.2, 177.0403
96, 389.9903, 0.95, 269849.7, 388.9831
97, 496.1443, 0.95, 25716.7, 495.1370
98, 408.0009, 0.95, 59732.4, 406.9936
99, 392.0053, 0.95, 4420369.5, 390.9986
100, 434.1070, 0.95, 27714.6, 433.0997
101, 316.0798, 0.96, 1132512.4, 315.0725
102, 238.0511, 0.96, 152182.5, 237.0438
103, 488.1184, 0.97, 70427.8, 487.1111
104, 206.0788, 0.97, 188284.1, 205.0715
105, 435.1864, 0.97, 66395.6, 434.1791
106, 617.1190, 0.97, 1480284.8, 616.1117
107, 615.1035, 0.97, 270605.7, 614.0962
108, 280.1158, 0.98, 346839.3, 279.1085
109, 306.0745, 0.98, 40687.8, 305.0672
110, 474.1026, 0.99, 78081.3, 473.0953
111, 219.1106, 0.99, 181879.0, 218.1033
112, 888.1796, 0.99, 10288.7, 887.1723
113, 606.1822, 0.99, 23420.4, 605.1750
114, 624.0991, 1.00, 47963.2, 623.0918
115, 259.9985, 1.00, 76220.5, 258.9913
116, 148.0733, 1.01, 1445941.0, 147.0660
117, 231.0199, 1.02, 70600.3, 230.0127
118, 464.1906, 1.03, 120493.6, 463.1833
119, 708.1245, 1.03, 45582.9, 707.1172
120, 728.2051, 1.03, 78056.9, 727.1978
121, 162.0526, 1.04, 2254240.5, 161.0453
122, 434.1438, 1.04, 209388.0, 433.1365
123, 414.0881, 1.04, 132782.8, 413.0808
124, 478.1705, 1.04, 91907.5, 477.1632
125, 154.0628, 1.04, 161099.3, 153.0555
126, 494.1652, 1.04, 141097.2, 495.1565
127, 632.2348, 1.04, 156609.6, 631.2275
128, 632.1993, 1.04, 79278.5, 631.1920
129, 450.1751, 1.04, 85807.4, 449.1678
130, 490.1704, 1.05, 75969.0, 489.1632
131, 316.1163, 1.05, 1724326.0, 315.1090
132, 406.1488, 1.05, 98879.7, 405.1416
133, 596.2343, 1.05, 60966.7, 595.2270
134, 198.0559, 1.05, 262560.7, 197.0486
135, 180.0444, 1.06, 666140.7, 179.0371
136, 595.1497, 1.07, 178457.6, 594.1424
137, 154.0264, 1.08, 280896.7, 153.0191
138, 336.1428, 1.09, 10418.4, 335.1355
139, 300.0829, 1.10, 155596.0, 299.0775
140, 600.1145, 1.10, 86273.9, 599.1073
141, 284.0471, 1.12, 66703.7, 283.0398
142, 882.2063, 1.12, 58986.6, 881.1991
143, 326.1011, 1.13, 30934.6, 325.0938
144, 342.0951, 1.16, 33074.3, 341.0879
145, 376.0823, 1.18, 544926.9, 375.0751
146, 342.1165, 1.19, 64215.1, 341.1093
147, 162.0525, 1.19, 1566873.5, 161.0453
148, 162.0525, 1.20, 1595866.8, 161.0453
149, 1154.2783, 1.20, 69914.1, 1153.2710
150, 392.0059, 1.20, 1063036.5, 390.9986
151, 178.0262, 1.22, 1684366.8, 177.0189
152, 662.0550, 1.22, 147179.4, 661.0477
153, 974.1033, 1.23, 23789.2, 973.0960
154, 312.0483, 1.23, 12641634.0, 311.0410
155, 312.2309, 1.23, 65503.2, 311.2236
156, 622.8938, 1.23, 142410.6, 311.4458
157, 672.1936, 1.23, 50785.2, 671.1863
158, 144.0420, 1.24, 625321.7, 143.0347
159, 620.0675, 1.24, 19481.9, 619.0603
160, 310.0327, 1.24, 2928082.3, 309.0254
161, 989.0627, 1.24, 8492.8, 988.0554
162, 150.0161, 1.24, 5327051.0, 149.0088
163, 1466.3316, 1.24, 58585.1, 1467.3396
164, 936.1504, 1.24, 108443.8, 935.1431
165, 410.0191, 1.25, 395154.8, 409.0118
166, 622.0835, 1.25, 965068.9, 621.0762
167, 958.1283, 1.25, 14419.7, 957.1211
168, 677.0103, 1.25, 64772.2, 676.0030
169, 136.0523, 1.25, 365508.9, 135.0450
170, 624.5812, 1.25, 16345.1, 623.5739
171, 740.1986, 1.25, 39381.3, 739.1913
172, 180.0419, 1.25, 3831810.8, 179.0346
173, 624.0991, 1.25, 7328225.5, 623.0918
174, 1872.0623, 1.25, 150565.5, 623.6668
175, 622.9348, 1.25, 34605.6, 622.9217
176, 1202.2476, 1.25, 118846.8, 1201.2403
177, 646.0813, 1.25, 138993.2, 645.0740
178, 622.8498, 1.25, 20179.8, 622.8351
179, 328.0434, 1.25, 216828.3, 327.0361
180, 622.7828, 1.25, 30605.5, 622.7662
181, 890.1961, 1.25, 1429982.4, 889.1888
182, 888.1798, 1.25, 182251.2, 887.1725
183, 722.0747, 1.26, 33565.9, 721.0674
184, 640.0942, 1.26, 68853.4, 639.0869
185, 578.1449, 1.26, 1110796.8, 577.1376
186, 676.1144, 1.27, 22901.3, 675.1071
187, 462.0661, 1.27, 72365.1, 461.0588
