#, Max. MW, RT [min], Area, Max. m/z
1, 175.9634, 0.54, 72749.8, 174.9561
2, 159.9858, 0.55, 345763.3, 158.9785
3, 273.9664, 0.55, 1474257.8, 272.9591
4, 736.1540, 0.57, 57800.4, 735.1467
5, 560.1225, 0.58, 33019.8, 559.1152
6, 370.0747, 0.58, 35061.7, 369.0674
7, 388.1218, 0.60, 384316.6, 387.1145
8, 182.0788, 0.60, 307641.4, 181.0716
9, 180.0633, 0.61, 240678.8, 179.0560
10, 216.0400, 0.61, 112870.8, 215.0327
11, 166.0477, 0.61, 168458.5, 165.0404
12, 196.0582, 0.61, 1624045.9, 195.0509
13, 194.0425, 0.62, 342786.1, 193.0352
14, 378.0932, 0.62, 265031.0, 377.0859
15, 538.1743, 0.62, 85519.1, 537.1670
16, 492.1329, 0.63, 95849.6, 491.1257
17, 296.0745, 0.63, 181754.8, 295.0673
18, 370.0749, 0.63, 57305.7, 369.0676
19, 312.0696, 0.63, 168112.1, 311.0623
20, 224.0531, 0.63, 68260.1, 223.0458
21, 150.0163, 0.63, 10855033.0, 149.0090
22, 210.0375, 0.63, 156787.4, 209.0303
23, 599.0089, 0.63, 45251.1, 149.2430
24, 468.1157, 0.63, 52801.2, 467.1084
25, 440.0881, 0.63, 287320.6, 439.0808
26, 638.1903, 0.63, 29542.3, 637.1830
27, 782.2055, 0.63, 39337.6, 781.1982
28, 422.0743, 0.64, 16671.0, 421.0670
29, 354.0796, 0.64, 31748.4, 353.0723
30, 394.0461, 0.64, 56760.4, 393.0389
31, 292.0239, 0.64, 134482.6, 291.0166
32, 204.0269, 0.65, 232722.7, 205.0354
33, 275.0325, 0.65, 1087790.3, 275.0217
34, 669.9781, 0.66, 124012.7, 133.1799
35, 134.0214, 0.66, 9442374.0, 133.0141
36, 670.6955, 0.66, 84841.3, 133.1318
37, 116.0111, 0.66, 111700.9, 115.0038
38, 384.0540, 0.67, 60659.6, 383.0467
39, 767.8657, 0.68, 39445.0, 191.2180
40, 192.0269, 0.68, 11574284.0, 191.0196
41, 960.5063, 0.68, 22536.5, 191.0940
42, 406.0355, 0.68, 42072.1, 405.0282
43, 476.1376, 0.68, 294857.0, 475.1309
44, 766.8615, 0.68, 23074.5, 190.9510
45, 174.0163, 0.68, 908909.3, 173.0090
46, 422.0104, 0.68, 183986.2, 421.0031
47, 307.0950, 0.69, 28269.6, 307.0844
48, 129.0428, 0.70, 65226.3, 128.0355
49, 334.0702, 0.71, 1166015.9, 333.0629
50, 134.0579, 0.72, 1678423.1, 133.0506
51, 130.0267, 0.72, 526507.8, 129.0194
52, 392.0054, 0.72, 835712.1, 390.9981
53, 148.0371, 0.72, 767966.4, 147.0298
54, 238.0149, 0.72, 73516.9, 237.0076
55, 471.1592, 0.72, 34050.1, 471.1360
56, 188.0321, 0.72, 134763.8, 187.0248
57, 370.0751, 0.74, 108117.2, 369.0678
58, 534.1431, 0.74, 45777.9, 533.1358
59, 670.0714, 0.75, 51243.4, 669.0641
60, 150.0165, 0.75, 6580878.5, 149.0092
61, 196.0584, 0.75, 1042792.2, 195.0511
62, 134.0216, 0.75, 6605922.5, 133.0143
63, 134.0580, 0.79, 1337112.6, 133.0507
64, 476.1743, 0.79, 82923.7, 475.1670
65, 429.9611, 0.80, 78265.5, 428.9538
66, 188.0323, 0.81, 174153.0, 187.0250
67, 460.1435, 0.82, 239347.3, 459.1362
68, 389.9897, 0.84, 287812.1, 388.9824
69, 238.0150, 0.84, 130499.0, 237.0077
70, 392.0054, 0.84, 1851110.9, 390.9981
71, 118.0268, 0.84, 256533.0, 117.0195
72, 206.0428, 0.85, 235326.1, 205.0355
73, 148.0371, 0.85, 2131544.0, 147.0298
74, 252.0846, 0.85, 58385.0, 251.0774
75, 162.0527, 0.85, 309332.0, 161.0454
76, 170.0214, 0.85, 109994.0, 169.0142
77, 474.1016, 0.85, 60394.1, 473.0943
78, 383.1080, 0.85, 106781.2, 382.1007
79, 360.0697, 0.86, 81572.3, 359.0624
80, 352.0650, 0.86, 134967.9, 175.0249
81, 347.0902, 0.86, 127244.9, 347.0798
82, 1000.2223, 0.86, 17548.1, 999.2150
83, 275.1054, 0.87, 688733.5, 275.0947
84, 617.1168, 0.88, 2795677.0, 616.1095
85, 715.0858, 0.88, 203321.0, 714.0786
86, 655.0724, 0.88, 30013.3, 654.0651
87, 146.0580, 0.88, 71329.7, 145.0507
88, 615.1012, 0.88, 254098.8, 614.0939
89, 370.0365, 0.89, 103297.7, 369.0293
90, 182.0613, 0.89, 301032.6, 181.0541
91, 458.1068, 0.89, 90385.2, 457.0995
92, 259.9994, 0.90, 72751.3, 258.9921
93, 394.0574, 0.90, 86591.1, 393.0501
94, 344.0749, 0.91, 32570.9, 343.0676
95, 369.1065, 0.91, 452882.3, 368.0992
96, 381.1640, 0.91, 67437.3, 380.1568
97, 324.1426, 0.91, 92503.2, 323.1353
98, 148.0373, 0.92, 550316.8, 147.0300
99, 658.0998, 0.92, 42224.1, 657.0925
100, 594.1375, 0.93, 46552.8, 593.1302
101, 160.0373, 0.94, 74564.9, 159.0300
102, 178.0477, 0.94, 874438.3, 177.0405
103, 389.9897, 0.95, 275336.9, 388.9824
104, 392.0054, 0.95, 3177789.0, 390.9982
105, 434.1065, 0.95, 34118.6, 433.0992
106, 316.0798, 0.95, 996746.6, 315.0725
107, 487.1330, 0.96, 116470.7, 487.1100
108, 238.0513, 0.96, 163124.8, 237.0440
109, 617.1168, 0.97, 1801330.4, 616.1095
110, 615.1011, 0.97, 305383.5, 614.0938
111, 280.1162, 0.98, 342364.0, 279.1089
112, 330.0952, 0.98, 24890.1, 330.1005
113, 474.1015, 0.99, 59515.1, 473.0942
114, 219.1109, 0.99, 163296.6, 218.1036
115, 606.1814, 0.99, 27528.1, 605.1741
116, 624.0962, 1.00, 35456.4, 623.0889
117, 148.0735, 1.01, 1403851.5, 147.0662
118, 259.9991, 1.01, 128291.6, 258.9918
119, 231.0203, 1.02, 93445.9, 230.0130
120, 289.1211, 1.03, 95143.2, 289.1104
121, 464.1898, 1.03, 132072.9, 463.1825
122, 728.2005, 1.04, 65756.4, 727.1933
123, 162.0528, 1.04, 1908139.3, 161.0455
124, 434.1429, 1.04, 243594.7, 433.1356
125, 414.0872, 1.04, 136579.9, 413.0799
126, 494.1638, 1.04, 162858.9, 495.1548
127, 632.2317, 1.05, 134750.8, 631.2244
128, 450.1741, 1.05, 111353.6, 449.1669
129, 514.1724, 1.05, 22361.6, 513.1651
130, 596.2317, 1.05, 58971.8, 595.2244
131, 352.0930, 1.05, 136506.6, 351.0857
132, 316.1160, 1.05, 1284049.0, 315.1088
133, 154.0630, 1.05, 156739.2, 153.0557
134, 406.1480, 1.05, 74748.8, 405.1408
135, 326.1580, 1.05, 24716.1, 325.1508
136, 490.1692, 1.05, 63949.2, 489.1619
137, 198.0562, 1.05, 282504.1, 197.0489
138, 180.0456, 1.06, 583891.5, 179.0384
139, 415.0546, 1.08, 23251.2, 414.0473
140, 154.0266, 1.08, 303719.8, 153.0194
141, 300.0848, 1.08, 127999.6, 299.0776
142, 359.2060, 1.09, 16152.7, 358.1988
143, 600.1117, 1.10, 69145.5, 599.1044
144, 132.0423, 1.11, 71291.4, 131.0350
145, 284.0470, 1.12, 62899.7, 283.0397
146, 882.1990, 1.12, 22543.8, 881.1917
147, 705.2054, 1.14, 23623.2, 704.1981
148, 375.0854, 1.19, 655823.1, 375.0746
149, 1154.2688, 1.20, 53591.4, 1153.2616
150, 174.0164, 1.20, 170185.0, 173.0092
151, 220.0583, 1.20, 282360.6, 219.0511
152, 532.1069, 1.22, 78430.0, 531.0996
153, 178.0265, 1.22, 1508203.6, 177.0192
154, 662.0522, 1.22, 146661.3, 661.0449
155, 311.4203, 1.23, 9994.1, 310.4130
156, 704.0530, 1.23, 96017.6, 703.0457
157, 974.0949, 1.23, 22131.1, 973.0876
158, 622.9020, 1.23, 128100.9, 311.4470
159, 311.9807, 1.23, 23588.9, 310.9735
160, 935.7881, 1.23, 18386.4, 310.9221
161, 312.0482, 1.23, 11728230.0, 311.0409
162, 672.1893, 1.23, 36705.8, 671.1821
163, 677.0071, 1.23, 19587.0, 675.9998
164, 622.7754, 1.24, 22298.6, 311.3825
165, 328.0431, 1.24, 173586.4, 327.0359
166, 144.0422, 1.24, 1271169.6, 143.0349
167, 958.1193, 1.24, 20852.1, 957.1120
168, 989.0552, 1.24, 15679.8, 988.0480
169, 646.0774, 1.24, 137293.7, 645.0701
170, 310.0326, 1.24, 2648121.5, 309.0253
171, 150.0163, 1.24, 4684628.5, 149.0091
172, 136.0524, 1.24, 351697.3, 135.0452
173, 622.8768, 1.24, 21105.1, 622.8637
174, 936.1433, 1.24, 109291.6, 935.1360
175, 1872.0794, 1.24, 126428.5, 623.6693
176, 622.8545, 1.24, 29069.5, 622.8393
177, 622.0808, 1.25, 862943.6, 621.0735
178, 620.0648, 1.25, 17693.8, 619.0576
179, 624.0964, 1.25, 6841045.5, 623.0891
180, 623.0011, 1.25, 34940.6, 622.9854
181, 1247.8765, 1.25, 73141.9, 623.4494
182, 180.0421, 1.25, 3498862.3, 179.0348
183, 740.1948, 1.25, 38301.9, 739.1875
