#, Max. MW, RT [min], Area, Max. m/z
1, 289.9444, 0.54, 360421.9, 288.9371
2, 175.9633, 0.54, 100180.3, 174.9560
3, 159.9858, 0.55, 275955.3, 158.9785
4, 273.9667, 0.55, 1499655.3, 272.9594
5, 560.1256, 0.58, 35341.0, 559.1183
6, 334.0674, 0.58, 224276.1, 333.0601
7, 370.0759, 0.58, 32820.5, 369.0686
8, 606.2039, 0.58, 34053.3, 605.1966
9, 388.1233, 0.60, 417359.0, 387.1161
10, 180.0629, 0.60, 936730.6, 179.0560
11, 216.0401, 0.61, 178036.6, 215.0328
12, 166.0476, 0.61, 178340.3, 165.0403
13, 196.0582, 0.61, 1669863.3, 195.0509
14, 378.0940, 0.62, 285772.2, 377.0868
15, 194.0426, 0.62, 332116.7, 193.0353
16, 538.1772, 0.62, 93254.5, 537.1700
17, 492.1349, 0.63, 104286.3, 491.1276
18, 312.0698, 0.63, 287104.0, 311.0625
19, 296.0747, 0.63, 185731.2, 295.0674
20, 601.1905, 0.63, 136659.6, 149.2903
21, 440.0904, 0.63, 306113.6, 439.0831
22, 370.0755, 0.63, 48363.6, 369.0682
23, 210.0374, 0.63, 167972.9, 209.0302
24, 150.0162, 0.63, 10546904.0, 149.0089
25, 638.1951, 0.63, 33515.0, 637.1878
26, 782.2108, 0.63, 30119.8, 781.2035
27, 468.1174, 0.63, 166017.0, 467.1101
28, 354.0804, 0.64, 42742.0, 353.0732
29, 125.9987, 0.64, 88153.3, 124.9914
30, 422.0748, 0.64, 47521.7, 421.0675
31, 394.0475, 0.64, 53951.6, 393.0402
32, 260.0205, 0.64, 133012.9, 259.0132
33, 291.0278, 0.65, 174134.5, 291.0169
34, 204.0270, 0.65, 546665.6, 205.0353
35, 669.9643, 0.66, 146414.3, 133.1815
36, 276.0292, 0.66, 821808.0, 275.0220
37, 134.0214, 0.66, 9000536.0, 133.0141
38, 116.0112, 0.66, 110835.0, 115.0039
39, 670.7029, 0.66, 84679.4, 133.1333
40, 192.0269, 0.68, 11484351.0, 191.0196
41, 752.1561, 0.68, 16411.2, 751.1488
